Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
STWD,"STARWOOD PROPERTY TRUST, INC.",24.01,$6.77B,2009.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/stwd,
STT,State Street Corporation,73.4,$26.69B,,Finance,Major Banks,https://old.nasdaq.com/symbol/stt,
SPLP,Steel Partners Holdings LP,11.9,$297.63M,,Capital Goods,Industrial Specialties,https://old.nasdaq.com/symbol/splp,
SCS,Steelcase Inc.,18.31,$2.14B,1998.0,Consumer Durables,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/scs,
SCA,Stellus Capital Investment Corporation,25.65,,,,,https://old.nasdaq.com/symbol/sca,
SCM,Stellus Capital Investment Corporation,14.15,$267.52M,2012.0,,,https://old.nasdaq.com/symbol/scm,
SCL,Stepan Company,97.83,$2.2B,,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/scl,
STE,STERIS plc,149.38,$12.66B,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ste,
STL,Sterling Bancorp,20.53,$4.15B,,Finance,Major Banks,https://old.nasdaq.com/symbol/stl,
STC,Stewart Information Services Corporation,42.82,$1.02B,,Finance,Specialty Insurers,https://old.nasdaq.com/symbol/stc,
SF,Stifel Financial Corporation,60.93,$4.24B,,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/sf,
SFB,Stifel Financial Corporation,25.93,,2017.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/sfb,
STM,STMicroelectronics N.V.,24.26,$21.62B,,Technology,Semiconductors,https://old.nasdaq.com/symbol/stm,
EDF,Stone Harbor Emerging Markets Income Fund,13.2,$214.85M,2010.0,,,https://old.nasdaq.com/symbol/edf,
EDI,Stone Harbor Emerging Markets Total Income Fund,11.7,$113.96M,2012.0,,,https://old.nasdaq.com/symbol/edi,
STON,StoneMor Partners L.P.,1.0947,$46.67M,2004.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ston,
SRI,"Stoneridge, Inc.",29.5,$808.39M,1997.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/sri,
